DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,TOTAL_MIN_CAPACITY_PRICE_[EUR/MW],TOTAL_AVERAGE_CAPACITY_PRICE_[EUR/MW],TOTAL_MARGINAL_CAPACITY_PRICE_[EUR/MW],TOTAL_MIN_ENERGY_PRICE_[EUR/MWh],TOTAL_AVERAGE_ENERGY_PRICE_[EUR/MWh],TOTAL_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_MIN_CAPACITY_PRICE_[EUR/MW],GERMANY_AVERAGE_CAPACITY_PRICE_[EUR/MW],GERMANY_MARGINAL_CAPACITY_PRICE_[EUR/MW],GERMANY_MIN_ENERGY_PRICE_[EUR/MWh],GERMANY_AVERAGE_ENERGY_PRICE_[EUR/MWh],GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh],GERMANY_IMPORT(-)_EXPORT(+)_[MW]
1/1/2019,1/1/2019,aFRR,POS_00_04,0.000,13.690,29.400,37.800,76.660,109.200,0.000,13.690,29.400,37.800,76.660,109.200,0.000
1/1/2019,1/1/2019,aFRR,POS_04_08,0.000,12.700,23.200,37.700,75.240,109.200,0.000,12.700,23.200,37.700,75.240,109.200,0.000
1/1/2019,1/1/2019,aFRR,POS_08_12,0.000,15.270,25.700,39.600,77.210,109.200,0.000,15.270,25.700,39.600,77.210,109.200,0.000
1/1/2019,1/1/2019,aFRR,POS_12_16,0.000,15.090,24.400,43.500,76.700,110.400,0.000,15.090,24.400,43.500,76.700,110.400,0.000
1/1/2019,1/1/2019,aFRR,POS_16_20,0.000,30.030,41.200,38.000,76.780,125.000,0.000,30.030,41.200,38.000,76.780,125.000,0.000
1/1/2019,1/1/2019,aFRR,POS_20_24,0.000,12.050,22.300,37.100,75.600,106.200,0.000,12.050,22.300,37.100,75.600,106.200,0.000
1/1/2019,1/1/2019,aFRR,NEG_00_04,0.000,88.820,146.420,11.000,-79.740,-449.659,0.000,88.820,146.420,11.000,-79.740,-449.659,0.000
1/1/2019,1/1/2019,aFRR,NEG_04_08,0.000,86.050,160.760,11.000,-79.870,-500.000,0.000,86.050,160.760,11.000,-79.870,-500.000,0.000
1/1/2019,1/1/2019,aFRR,NEG_08_12,0.000,59.300,105.560,25.110,-53.760,-449.000,0.000,59.300,105.560,25.110,-53.760,-449.000,0.000
1/1/2019,1/1/2019,aFRR,NEG_12_16,0.000,16.150,52.570,25.110,-46.020,-194.740,0.000,16.150,52.570,25.110,-46.020,-194.740,0.000
1/1/2019,1/1/2019,aFRR,NEG_16_20,0.000,12.530,32.000,25.110,-0.750,-120.000,0.000,12.530,32.000,25.110,-0.750,-120.000,0.000
1/1/2019,1/1/2019,aFRR,NEG_20_24,0.000,19.130,44.000,25.110,-5.710,-145.000,0.000,19.130,44.000,25.110,-5.710,-145.000,0.000
1/2/2019,1/2/2019,aFRR,POS_00_04,0.000,14.130,26.320,44.000,73.380,104.000,0.000,14.130,26.320,44.000,73.380,104.000,0.000
1/2/2019,1/2/2019,aFRR,POS_04_08,4.090,13.440,25.830,44.000,77.120,109.200,4.090,13.440,25.830,44.000,77.120,109.200,0.000
1/2/2019,1/2/2019,aFRR,POS_08_12,3.000,14.600,22.300,55.970,82.560,110.000,3.000,14.600,22.300,55.970,82.560,110.000,0.000
1/2/2019,1/2/2019,aFRR,POS_12_16,2.260,13.450,22.800,48.490,81.700,109.200,2.260,13.450,22.800,48.490,81.700,109.200,0.000
1/2/2019,1/2/2019,aFRR,POS_16_20,3.000,24.930,40.700,48.490,90.470,132.000,3.000,24.930,40.700,48.490,90.470,132.000,0.000
1/2/2019,1/2/2019,aFRR,POS_20_24,0.000,9.620,18.100,55.970,84.740,106.250,0.000,9.620,18.100,55.970,84.740,106.250,0.000
1/2/2019,1/2/2019,aFRR,NEG_00_04,0.000,72.920,134.000,19.900,-111.580,-450.118,0.000,72.920,134.000,19.900,-111.580,-450.118,0.000
1/2/2019,1/2/2019,aFRR,NEG_04_08,0.000,67.910,137.780,20.410,-93.950,-449.496,0.000,67.910,137.780,20.410,-93.950,-449.496,0.000
1/2/2019,1/2/2019,aFRR,NEG_08_12,0.000,30.920,61.880,28.150,-4.720,-210.000,0.000,30.920,61.880,28.150,-4.720,-210.000,0.000
1/2/2019,1/2/2019,aFRR,NEG_12_16,2.000,13.830,25.500,30.490,4.440,-70.000,2.000,13.830,25.500,30.490,4.440,-70.000,0.000
1/2/2019,1/2/2019,aFRR,NEG_16_20,3.280,8.650,15.890,37.100,7.170,-14.000,3.280,8.650,15.890,37.100,7.170,-14.000,0.000
1/2/2019,1/2/2019,aFRR,NEG_20_24,0.000,13.620,20.360,33.110,9.070,-50.000,0.000,13.620,20.360,33.110,9.070,-50.000,0.000
1/3/2019,1/3/2019,aFRR,POS_00_04,1.190,13.560,22.500,47.840,78.900,110.400,1.190,13.560,22.500,47.840,78.900,110.400,0.000
1/3/2019,1/3/2019,aFRR,POS_04_08,3.060,14.110,18.200,55.000,79.110,109.200,3.060,14.110,18.200,55.000,79.110,109.200,0.000
1/3/2019,1/3/2019,aFRR,POS_08_12,2.220,17.160,20.800,64.000,81.590,116.100,2.220,17.160,20.800,64.000,81.590,116.100,0.000
1/3/2019,1/3/2019,aFRR,POS_12_16,0.100,14.980,17.500,64.000,82.300,109.200,0.100,14.980,17.500,64.000,82.300,109.200,0.000
1/3/2019,1/3/2019,aFRR,POS_16_20,5.000,26.330,30.000,64.000,88.700,112.000,5.000,26.330,30.000,64.000,88.700,112.000,0.000
1/3/2019,1/3/2019,aFRR,POS_20_24,0.000,8.130,15.480,62.000,87.530,106.250,0.000,8.130,15.480,62.000,87.530,106.250,0.000
1/3/2019,1/3/2019,aFRR,NEG_00_04,9.000,31.190,47.120,35.000,10.670,-50.000,9.000,31.190,47.120,35.000,10.670,-50.000,0.000
1/3/2019,1/3/2019,aFRR,NEG_04_08,6.360,28.850,45.000,35.000,10.500,-115.200,6.360,28.850,45.000,35.000,10.500,-115.200,0.000
1/3/2019,1/3/2019,aFRR,NEG_08_12,0.000,12.160,28.180,35.000,12.380,-70.000,0.000,12.160,28.180,35.000,12.380,-70.000,0.000
1/3/2019,1/3/2019,aFRR,NEG_12_16,2.100,8.440,12.890,35.000,15.530,-10.000,2.100,8.440,12.890,35.000,15.530,-10.000,0.000
1/3/2019,1/3/2019,aFRR,NEG_16_20,1.900,7.350,12.890,41.100,15.150,-10.000,1.900,7.350,12.890,41.100,15.150,-10.000,0.000
1/3/2019,1/3/2019,aFRR,NEG_20_24,2.420,9.700,13.660,35.000,15.190,-10.000,2.420,9.700,13.660,35.000,15.190,-10.000,0.000
1/4/2019,1/4/2019,aFRR,POS_00_04,2.290,11.120,18.300,56.000,82.070,109.200,2.290,11.120,18.300,56.000,82.070,109.200,0.000
1/4/2019,1/4/2019,aFRR,POS_04_08,3.560,12.480,17.000,59.000,81.140,109.200,3.560,12.480,17.000,59.000,81.140,109.200,0.000
1/4/2019,1/4/2019,aFRR,POS_08_12,5.000,14.410,19.170,66.000,83.080,109.200,5.000,14.410,19.170,66.000,83.080,109.200,0.000
1/4/2019,1/4/2019,aFRR,POS_12_16,5.000,14.500,16.640,66.000,80.320,109.200,5.000,14.500,16.640,66.000,80.320,109.200,0.000
1/4/2019,1/4/2019,aFRR,POS_16_20,3.180,24.630,30.030,70.400,85.130,147.500,3.180,24.630,30.030,70.400,85.130,147.500,0.000
1/4/2019,1/4/2019,aFRR,POS_20_24,3.120,9.310,12.140,68.000,80.520,97.000,3.120,9.310,12.140,68.000,80.520,97.000,0.000
1/4/2019,1/4/2019,aFRR,NEG_00_04,0.000,16.910,29.530,37.400,13.750,-50.000,0.000,16.910,29.530,37.400,13.750,-50.000,0.000
1/4/2019,1/4/2019,aFRR,NEG_04_08,0.000,16.640,31.210,37.400,13.660,-50.000,0.000,16.640,31.210,37.400,13.660,-50.000,0.000
1/4/2019,1/4/2019,aFRR,NEG_08_12,0.000,8.680,12.860,37.400,15.440,-10.000,0.000,8.680,12.860,37.400,15.440,-10.000,0.000
1/4/2019,1/4/2019,aFRR,NEG_12_16,0.000,6.720,13.400,36.000,17.440,-10.000,0.000,6.720,13.400,36.000,17.440,-10.000,0.000
1/4/2019,1/4/2019,aFRR,NEG_16_20,0.000,5.960,13.120,36.000,15.210,-10.000,0.000,5.960,13.120,36.000,15.210,-10.000,0.000
1/4/2019,1/4/2019,aFRR,NEG_20_24,0.000,7.090,10.000,36.000,12.600,-10.000,0.000,7.090,10.000,36.000,12.600,-10.000,0.000
1/5/2019,1/5/2019,aFRR,POS_00_04,1.480,12.450,17.040,58.000,75.950,101.100,1.480,12.450,17.040,58.000,75.950,101.100,0.000
1/5/2019,1/5/2019,aFRR,POS_04_08,5.000,10.760,16.000,64.000,79.180,87.890,5.000,10.760,16.000,64.000,79.180,87.890,0.000
1/5/2019,1/5/2019,aFRR,POS_08_12,5.000,12.800,17.680,63.310,80.820,106.200,5.000,12.800,17.680,63.310,80.820,106.200,0.000
1/5/2019,1/5/2019,aFRR,POS_12_16,4.450,13.570,17.530,63.310,78.200,104.200,4.450,13.570,17.530,63.310,78.200,104.200,0.000
1/5/2019,1/5/2019,aFRR,POS_16_20,1.820,25.080,28.770,66.620,82.600,147.920,1.820,25.080,28.770,66.620,82.600,147.920,0.000
1/5/2019,1/5/2019,aFRR,POS_20_24,2.400,8.710,13.000,64.670,80.290,101.200,2.400,8.710,13.000,64.670,80.290,101.200,0.000
1/5/2019,1/5/2019,aFRR,NEG_00_04,0.000,28.880,57.020,21.410,-2.550,-179.380,0.000,28.880,57.020,21.410,-2.550,-179.380,0.000
1/5/2019,1/5/2019,aFRR,NEG_04_08,0.000,30.670,63.200,21.000,-2.500,-210.000,0.000,30.670,63.200,21.000,-2.500,-210.000,0.000
1/5/2019,1/5/2019,aFRR,NEG_08_12,0.000,9.480,13.730,37.000,12.490,-38.000,0.000,9.480,13.730,37.000,12.490,-38.000,0.000
1/5/2019,1/5/2019,aFRR,NEG_12_16,1.550,7.530,12.970,37.000,16.860,-10.000,1.550,7.530,12.970,37.000,16.860,-10.000,0.000
1/5/2019,1/5/2019,aFRR,NEG_16_20,1.490,7.330,13.530,37.000,17.830,-14.000,1.490,7.330,13.530,37.000,17.830,-14.000,0.000
1/5/2019,1/5/2019,aFRR,NEG_20_24,2.000,8.020,14.120,36.000,17.130,-10.000,2.000,8.020,14.120,36.000,17.130,-10.000,0.000
1/6/2019,1/6/2019,aFRR,POS_00_04,0.000,8.970,16.200,58.000,83.680,107.470,0.000,8.970,16.200,58.000,83.680,107.470,0.000
1/6/2019,1/6/2019,aFRR,POS_04_08,0.000,8.500,15.600,62.900,82.070,101.100,0.000,8.500,15.600,62.900,82.070,101.100,0.000
1/6/2019,1/6/2019,aFRR,POS_08_12,2.820,10.990,17.230,62.000,82.560,106.250,2.820,10.990,17.230,62.000,82.560,106.250,0.000
1/6/2019,1/6/2019,aFRR,POS_12_16,1.060,11.860,17.010,62.000,80.600,106.250,1.060,11.860,17.010,62.000,80.600,106.250,0.000
1/6/2019,1/6/2019,aFRR,POS_16_20,5.000,22.470,30.000,65.000,86.230,125.000,5.000,22.470,30.000,65.000,86.230,125.000,0.000
1/6/2019,1/6/2019,aFRR,POS_20_24,0.500,7.260,13.160,63.000,81.620,106.250,0.500,7.260,13.160,63.000,81.620,106.250,0.000
1/6/2019,1/6/2019,aFRR,NEG_00_04,0.000,21.280,31.300,32.290,13.580,-72.850,0.000,21.280,31.300,32.290,13.580,-72.850,0.000
1/6/2019,1/6/2019,aFRR,NEG_04_08,0.000,20.940,31.930,30.100,12.230,-72.850,0.000,20.940,31.930,30.100,12.230,-72.850,0.000
1/6/2019,1/6/2019,aFRR,NEG_08_12,0.000,9.040,14.260,37.000,18.250,-14.000,0.000,9.040,14.260,37.000,18.250,-14.000,0.000
1/6/2019,1/6/2019,aFRR,NEG_12_16,0.000,8.270,13.370,37.000,22.350,-14.000,0.000,8.270,13.370,37.000,22.350,-14.000,0.000
1/6/2019,1/6/2019,aFRR,NEG_16_20,1.850,7.880,10.930,37.000,22.310,0.000,1.850,7.880,10.930,37.000,22.310,0.000,0.000
1/6/2019,1/6/2019,aFRR,NEG_20_24,0.000,7.960,12.140,36.090,20.040,-14.000,0.000,7.960,12.140,36.090,20.040,-14.000,0.000
1/7/2019,1/7/2019,aFRR,POS_00_04,1.880,10.150,15.360,62.000,80.220,107.500,1.880,10.150,15.360,62.000,80.220,107.500,0.000
1/7/2019,1/7/2019,aFRR,POS_04_08,1.880,9.630,11.800,68.000,82.840,107.500,1.880,9.630,11.800,68.000,82.840,107.500,0.000
1/7/2019,1/7/2019,aFRR,POS_08_12,0.000,13.320,24.390,69.000,87.020,157.200,0.000,13.320,24.390,69.000,87.020,157.200,0.000
1/7/2019,1/7/2019,aFRR,POS_12_16,1.270,11.990,18.910,69.000,87.350,147.500,1.270,11.990,18.910,69.000,87.350,147.500,0.000
1/7/2019,1/7/2019,aFRR,POS_16_20,2.570,27.760,58.750,74.000,93.870,200.000,2.570,27.760,58.750,74.000,93.870,200.000,0.000
1/7/2019,1/7/2019,aFRR,POS_20_24,0.500,6.520,12.990,62.230,84.660,106.250,0.500,6.520,12.990,62.230,84.660,106.250,0.000
1/7/2019,1/7/2019,aFRR,NEG_00_04,0.000,15.250,21.870,35.000,12.390,-50.000,0.000,15.250,21.870,35.000,12.390,-50.000,0.000
1/7/2019,1/7/2019,aFRR,NEG_04_08,0.000,15.670,23.160,39.210,15.810,-50.000,0.000,15.670,23.160,39.210,15.810,-50.000,0.000
1/7/2019,1/7/2019,aFRR,NEG_08_12,0.000,8.920,13.320,40.730,23.360,-14.000,0.000,8.920,13.320,40.730,23.360,-14.000,0.000
1/7/2019,1/7/2019,aFRR,NEG_12_16,0.930,8.030,14.700,46.000,24.180,-5.000,0.930,8.030,14.700,46.000,24.180,-5.000,0.000
1/7/2019,1/7/2019,aFRR,NEG_16_20,1.250,7.000,11.480,39.210,21.380,0.000,1.250,7.000,11.480,39.210,21.380,0.000,0.000
1/7/2019,1/7/2019,aFRR,NEG_20_24,2.000,7.300,11.500,36.000,8.050,-14.010,2.000,7.300,11.500,36.000,8.050,-14.010,0.000
1/8/2019,1/8/2019,aFRR,POS_00_04,1.750,14.130,22.400,39.000,73.490,125.000,1.750,14.130,22.400,39.000,73.490,125.000,0.000
1/8/2019,1/8/2019,aFRR,POS_04_08,1.880,11.720,20.400,58.000,80.890,107.500,1.880,11.720,20.400,58.000,80.890,107.500,0.000
1/8/2019,1/8/2019,aFRR,POS_08_12,3.540,13.960,20.990,59.600,82.900,106.250,3.540,13.960,20.990,59.600,82.900,106.250,0.000
1/8/2019,1/8/2019,aFRR,POS_12_16,1.900,13.050,19.640,59.600,83.940,125.000,1.900,13.050,19.640,59.600,83.940,125.000,0.000
1/8/2019,1/8/2019,aFRR,POS_16_20,3.810,29.000,42.460,59.600,81.170,157.200,3.810,29.000,42.460,59.600,81.170,157.200,0.000
1/8/2019,1/8/2019,aFRR,POS_20_24,0.220,7.380,13.100,61.650,83.790,106.250,0.220,7.380,13.100,61.650,83.790,106.250,0.000
1/8/2019,1/8/2019,aFRR,NEG_00_04,0.000,70.570,144.880,12.000,-63.850,-500.000,0.000,70.570,144.880,12.000,-63.850,-500.000,0.000
1/8/2019,1/8/2019,aFRR,NEG_04_08,0.000,46.530,96.450,34.100,-25.520,-312.500,0.000,46.530,96.450,34.100,-25.520,-312.500,0.000
1/8/2019,1/8/2019,aFRR,NEG_08_12,0.000,7.970,23.050,34.100,9.420,-50.000,0.000,7.970,23.050,34.100,9.420,-50.000,0.000
1/8/2019,1/8/2019,aFRR,NEG_12_16,1.000,5.750,14.040,35.500,11.740,-14.000,1.000,5.750,14.040,35.500,11.740,-14.000,0.000
1/8/2019,1/8/2019,aFRR,NEG_16_20,0.000,5.080,12.000,35.500,12.160,-14.000,0.000,5.080,12.000,35.500,12.160,-14.000,0.000
1/8/2019,1/8/2019,aFRR,NEG_20_24,0.000,7.730,19.300,22.660,5.780,-50.000,0.000,7.730,19.300,22.660,5.780,-50.000,0.000
1/9/2019,1/9/2019,aFRR,POS_00_04,1.600,12.620,17.050,58.100,76.780,109.200,1.600,12.620,17.050,58.100,76.780,109.200,0.000
1/9/2019,1/9/2019,aFRR,POS_04_08,2.480,11.070,15.360,59.000,80.550,107.500,2.480,11.070,15.360,59.000,80.550,107.500,0.000
1/9/2019,1/9/2019,aFRR,POS_08_12,0.000,13.880,18.010,67.100,80.840,127.000,0.000,13.880,18.010,67.100,80.840,127.000,0.000
1/9/2019,1/9/2019,aFRR,POS_12_16,2.820,13.010,16.010,67.100,79.590,106.250,2.820,13.010,16.010,67.100,79.590,106.250,0.000
1/9/2019,1/9/2019,aFRR,POS_16_20,2.910,27.060,31.420,69.000,80.840,115.000,2.910,27.060,31.420,69.000,80.840,115.000,0.000
1/9/2019,1/9/2019,aFRR,POS_20_24,0.020,7.760,12.010,59.000,80.770,106.250,0.020,7.760,12.010,59.000,80.770,106.250,0.000
1/9/2019,1/9/2019,aFRR,NEG_00_04,0.000,57.060,101.370,21.000,-50.390,-312.500,0.000,57.060,101.370,21.000,-50.390,-312.500,0.000
1/9/2019,1/9/2019,aFRR,NEG_04_08,0.000,41.160,61.290,21.440,-38.660,-200.000,0.000,41.160,61.290,21.440,-38.660,-200.000,0.000
1/9/2019,1/9/2019,aFRR,NEG_08_12,3.490,8.820,13.040,32.000,12.640,-10.000,3.490,8.820,13.040,32.000,12.640,-10.000,0.000
1/9/2019,1/9/2019,aFRR,NEG_12_16,1.080,6.910,12.310,39.400,15.370,-10.000,1.080,6.910,12.310,39.400,15.370,-10.000,0.000
1/9/2019,1/9/2019,aFRR,NEG_16_20,2.000,5.990,12.420,39.400,16.690,0.000,2.000,5.990,12.420,39.400,16.690,0.000,0.000
1/9/2019,1/9/2019,aFRR,NEG_20_24,4.000,7.610,12.360,31.500,13.410,0.000,4.000,7.610,12.360,31.500,13.410,0.000,0.000
1/10/2019,1/10/2019,aFRR,POS_00_04,3.400,9.780,14.820,59.000,82.320,109.040,3.400,9.780,14.820,59.000,82.320,109.040,0.000
1/10/2019,1/10/2019,aFRR,POS_04_08,3.610,10.840,16.820,63.000,83.450,107.500,3.610,10.840,16.820,63.000,83.450,107.500,0.000
1/10/2019,1/10/2019,aFRR,POS_08_12,0.000,16.550,24.010,68.000,92.940,160.800,0.000,16.550,24.010,68.000,92.940,160.800,0.000
1/10/2019,1/10/2019,aFRR,POS_12_16,0.000,14.060,29.400,72.000,92.990,160.800,0.000,14.060,29.400,72.000,92.990,160.800,0.000
1/10/2019,1/10/2019,aFRR,POS_16_20,0.000,41.820,61.800,68.000,98.170,259.750,0.000,41.820,61.800,68.000,98.170,259.750,0.000
1/10/2019,1/10/2019,aFRR,POS_20_24,1.480,8.120,10.690,68.000,81.250,100.000,1.480,8.120,10.690,68.000,81.250,100.000,0.000
1/10/2019,1/10/2019,aFRR,NEG_00_04,0.000,24.590,45.140,35.000,9.500,-120.000,0.000,24.590,45.140,35.000,9.500,-120.000,0.000
1/10/2019,1/10/2019,aFRR,NEG_04_08,2.000,15.900,23.290,42.000,17.530,-50.000,2.000,15.900,23.290,42.000,17.530,-50.000,0.000
1/10/2019,1/10/2019,aFRR,NEG_08_12,0.000,8.940,13.750,45.000,27.020,-4.000,0.000,8.940,13.750,45.000,27.020,-4.000,0.000
1/10/2019,1/10/2019,aFRR,NEG_12_16,0.000,7.400,13.750,45.390,24.760,0.000,0.000,7.400,13.750,45.390,24.760,0.000,0.000
1/10/2019,1/10/2019,aFRR,NEG_16_20,0.980,6.700,12.380,44.630,23.230,0.000,0.980,6.700,12.380,44.630,23.230,0.000,0.000
1/10/2019,1/10/2019,aFRR,NEG_20_24,0.000,7.990,14.030,46.350,22.040,-14.000,0.000,7.990,14.030,46.350,22.040,-14.000,0.000
1/11/2019,1/11/2019,aFRR,POS_00_04,1.650,10.240,14.730,59.000,80.110,109.900,1.650,10.240,14.730,59.000,80.110,109.900,0.000
1/11/2019,1/11/2019,aFRR,POS_04_08,0.190,11.260,13.900,64.000,79.460,88.000,0.190,11.260,13.900,64.000,79.460,88.000,0.000
1/11/2019,1/11/2019,aFRR,POS_08_12,4.130,13.150,17.830,68.000,84.330,96.000,4.130,13.150,17.830,68.000,84.330,96.000,0.000
1/11/2019,1/11/2019,aFRR,POS_12_16,5.000,12.290,16.880,68.000,83.370,96.000,5.000,12.290,16.880,68.000,83.370,96.000,0.000
1/11/2019,1/11/2019,aFRR,POS_16_20,5.000,23.880,28.020,73.100,84.410,98.000,5.000,23.880,28.020,73.100,84.410,98.000,0.000
1/11/2019,1/11/2019,aFRR,POS_20_24,0.920,7.020,11.450,64.300,81.770,100.000,0.920,7.020,11.450,64.300,81.770,100.000,0.000
1/11/2019,1/11/2019,aFRR,NEG_00_04,0.020,19.650,25.510,36.000,17.210,-50.000,0.020,19.650,25.510,36.000,17.210,-50.000,0.000
1/11/2019,1/11/2019,aFRR,NEG_04_08,0.000,14.100,21.200,40.000,17.980,-50.000,0.000,14.100,21.200,40.000,17.980,-50.000,0.000
1/11/2019,1/11/2019,aFRR,NEG_08_12,0.000,6.670,15.260,39.200,16.900,-14.000,0.000,6.670,15.260,39.200,16.900,-14.000,0.000
1/11/2019,1/11/2019,aFRR,NEG_12_16,0.000,6.650,11.000,42.100,20.120,-10.000,0.000,6.650,11.000,42.100,20.120,-10.000,0.000
1/11/2019,1/11/2019,aFRR,NEG_16_20,0.000,6.290,10.250,37.000,19.410,-5.000,0.000,6.290,10.250,37.000,19.410,-5.000,0.000
1/11/2019,1/11/2019,aFRR,NEG_20_24,0.000,6.890,12.020,37.000,13.740,-14.000,0.000,6.890,12.020,37.000,13.740,-14.000,0.000
1/12/2019,1/12/2019,aFRR,POS_00_04,0.890,10.090,15.490,58.800,82.300,109.900,0.890,10.090,15.490,58.800,82.300,109.900,0.000
1/12/2019,1/12/2019,aFRR,POS_04_08,1.430,8.830,14.060,60.800,85.070,98.360,1.430,8.830,14.060,60.800,85.070,98.360,0.000
1/12/2019,1/12/2019,aFRR,POS_08_12,4.000,12.010,20.120,58.480,84.430,101.500,4.000,12.010,20.120,58.480,84.430,101.500,0.000
1/12/2019,1/12/2019,aFRR,POS_12_16,2.420,13.040,16.850,57.370,78.320,101.500,2.420,13.040,16.850,57.370,78.320,101.500,0.000
1/12/2019,1/12/2019,aFRR,POS_16_20,0.000,23.770,30.720,59.180,82.470,156.000,0.000,23.770,30.720,59.180,82.470,156.000,0.000
1/12/2019,1/12/2019,aFRR,POS_20_24,0.130,8.220,12.410,57.090,78.340,96.000,0.130,8.220,12.410,57.090,78.340,96.000,0.000
1/12/2019,1/12/2019,aFRR,NEG_00_04,0.020,17.320,22.420,31.000,10.150,-50.000,0.020,17.320,22.420,31.000,10.150,-50.000,0.000
1/12/2019,1/12/2019,aFRR,NEG_04_08,1.350,13.970,20.880,34.200,15.330,-35.000,1.350,13.970,20.880,34.200,15.330,-35.000,0.000
1/12/2019,1/12/2019,aFRR,NEG_08_12,0.000,7.880,12.910,37.100,17.360,-15.000,0.000,7.880,12.910,37.100,17.360,-15.000,0.000
1/12/2019,1/12/2019,aFRR,NEG_12_16,0.000,6.360,11.040,37.200,15.450,-17.000,0.000,6.360,11.040,37.200,15.450,-17.000,0.000
1/12/2019,1/12/2019,aFRR,NEG_16_20,0.170,6.510,10.450,35.000,18.060,-5.000,0.170,6.510,10.450,35.000,18.060,-5.000,0.000
1/12/2019,1/12/2019,aFRR,NEG_20_24,0.000,6.210,12.500,30.000,1.280,-50.000,0.000,6.210,12.500,30.000,1.280,-50.000,0.000
1/13/2019,1/13/2019,aFRR,POS_00_04,0.000,9.500,19.780,46.700,75.750,110.400,0.000,9.500,19.780,46.700,75.750,110.400,0.000
1/13/2019,1/13/2019,aFRR,POS_04_08,0.000,9.550,19.780,46.700,76.830,108.260,0.000,9.550,19.780,46.700,76.830,108.260,0.000
1/13/2019,1/13/2019,aFRR,POS_08_12,0.000,13.240,22.520,44.800,79.220,127.000,0.000,13.240,22.520,44.800,79.220,127.000,0.000
1/13/2019,1/13/2019,aFRR,POS_12_16,1.000,12.450,23.320,44.800,74.680,105.760,1.000,12.450,23.320,44.800,74.680,105.760,0.000
1/13/2019,1/13/2019,aFRR,POS_16_20,0.000,20.260,32.920,49.550,79.800,157.200,0.000,20.260,32.920,49.550,79.800,157.200,0.000
1/13/2019,1/13/2019,aFRR,POS_20_24,0.000,7.990,17.980,46.700,73.910,108.260,0.000,7.990,17.980,46.700,73.910,108.260,0.000
1/13/2019,1/13/2019,aFRR,NEG_00_04,0.000,54.950,98.740,17.000,-61.990,-332.500,0.000,54.950,98.740,17.000,-61.990,-332.500,0.000
1/13/2019,1/13/2019,aFRR,NEG_04_08,0.000,40.540,84.000,17.000,-63.540,-309.750,0.000,40.540,84.000,17.000,-63.540,-309.750,0.000
1/13/2019,1/13/2019,aFRR,NEG_08_12,0.000,36.750,74.690,25.000,-41.210,-250.000,0.000,36.750,74.690,25.000,-41.210,-250.000,0.000
1/13/2019,1/13/2019,aFRR,NEG_12_16,0.000,35.300,69.760,19.000,-44.090,-250.000,0.000,35.300,69.760,19.000,-44.090,-250.000,0.000
1/13/2019,1/13/2019,aFRR,NEG_16_20,0.000,35.320,61.890,21.000,-41.840,-250.000,0.000,35.320,61.890,21.000,-41.840,-250.000,0.000
1/13/2019,1/13/2019,aFRR,NEG_20_24,0.000,51.740,94.000,17.000,-58.930,-332.500,0.000,51.740,94.000,17.000,-58.930,-332.500,0.000
1/14/2019,1/14/2019,aFRR,POS_00_04,0.000,9.810,19.800,48.000,75.000,110.400,0.000,9.810,19.800,48.000,75.000,110.400,0.000
1/14/2019,1/14/2019,aFRR,POS_04_08,0.680,10.310,16.930,58.300,75.870,107.010,0.680,10.310,16.930,58.300,75.870,107.010,0.000
1/14/2019,1/14/2019,aFRR,POS_08_12,0.000,14.200,19.990,61.670,76.930,127.000,0.000,14.200,19.990,61.670,76.930,127.000,0.000
1/14/2019,1/14/2019,aFRR,POS_12_16,5.000,11.990,17.550,63.000,78.820,101.500,5.000,11.990,17.550,63.000,78.820,101.500,0.000
1/14/2019,1/14/2019,aFRR,POS_16_20,0.000,22.270,32.950,62.400,77.990,154.800,0.000,22.270,32.950,62.400,77.990,154.800,0.000
1/14/2019,1/14/2019,aFRR,POS_20_24,0.760,8.850,14.950,60.337,78.340,100.000,0.760,8.850,14.950,60.337,78.340,100.000,0.000
1/14/2019,1/14/2019,aFRR,NEG_00_04,0.000,126.630,213.200,17.000,-97.750,-750.000,0.000,126.630,213.200,17.000,-97.750,-750.000,0.000
1/14/2019,1/14/2019,aFRR,NEG_04_08,0.000,57.340,104.500,17.000,-52.790,-332.500,0.000,57.340,104.500,17.000,-52.790,-332.500,0.000
1/14/2019,1/14/2019,aFRR,NEG_08_12,0.000,10.040,24.510,33.000,4.240,-79.000,0.000,10.040,24.510,33.000,4.240,-79.000,0.000
1/14/2019,1/14/2019,aFRR,NEG_12_16,0.000,8.040,22.320,31.000,3.010,-49.000,0.000,8.040,22.320,31.000,3.010,-49.000,0.000
1/14/2019,1/14/2019,aFRR,NEG_16_20,0.000,5.880,20.470,35.000,5.030,-49.000,0.000,5.880,20.470,35.000,5.030,-49.000,0.000
1/14/2019,1/14/2019,aFRR,NEG_20_24,0.000,9.400,36.980,28.000,-1.280,-120.000,0.000,9.400,36.980,28.000,-1.280,-120.000,0.000
1/15/2019,1/15/2019,aFRR,POS_00_04,0.690,11.070,17.650,59.000,76.910,106.800,0.690,11.070,17.650,59.000,76.910,106.800,0.000
1/15/2019,1/15/2019,aFRR,POS_04_08,1.830,11.060,15.400,64.000,79.470,108.800,1.830,11.060,15.400,64.000,79.470,108.800,0.000
